External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,categ_id,website_published,public_categ_ids,Descripcion_cliente,Clave_cliente,Similitud
7500326545474,tarjeta sin mensaje mariposas,Bienes,14111611.0,7500326545474,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.003
7500326545481,tarjeta sin mensaje surf,Bienes,14111611.0,7500326545481,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.0
7500326545498,tarjeta sin mensaje  marco animal print paja,Bienes,14111611.0,7500326545498,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.011
7500326545504,tarjeta sin mensaje marco animal print cafã‰,Bienes,14111611.0,7500326545504,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.005
7500326545528,tarjeta felicitaciones marco zebra colores,Bienes,14111611.0,7500326545528,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.012
7500326545535,tarjetas conmemorativas cumpleaã‘os marco puntos,Bienes,14111611.0,7500326545535,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.028
7500326545542,tarjetas conmemorativas cumpleaã‘os banner colores,Bienes,14111611.0,7500326545542,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.044
7500326545559,tarjeta felicidades marco  zigzag negro,Bienes,14111611.0,7500326545559,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.004
7500326545566,tarjeta  feliz cumpleaã‘os zigzag negro,Bienes,14111611.0,7500326545566,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.003
7500326545573,tarjeta conmemorativa feliz dia banderitas,Bienes,14111611.0,7500326545573,,,,,,True,,paquete individual con 12 banderitas decoradas del mismo diseño de 3.5 cm de diametro. un empaque contiene 10 paquetes,banderitas decorativas ,0.175
7500326545580,tarjetas conmemorativas mensaje hola verde,Bienes,14111601.0,7500326545580,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.03
