External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,categ_id,website_published,public_categ_ids
7500326512773,INVITACION VERTICAL BUSQUEMOS EL TESORO PIRATA C/25 PZAS,Bienes,14111611,7500326512773,,,,,,TRUE,
7500326512780,INVITACION VERTICAL BUHO VEN A LA FIESTA C/25 PZAS,Bienes,14111611,7500326512780,,,,,,TRUE,
7500326512797,INVITACION VERTICAL BUHO FIESTA EN PIJAMAS C/25 PZAS,Bienes,14111611,7500326512797,,,,,,TRUE,
7500326513022,"INVITACION VERTICAL OH LA, LA ! DESP. DE SOLTERA C/25 PZAS",Bienes,14111601,7500326513022,,,,,,TRUE,
7500326513053,INVITACION VERTICAL  ANIM PRINT TIGRE C/25 PZAS,Bienes,14111611,7500326513053,,,,,,TRUE,
7500326513077,INVITACION VERTICAL ANIM PRINT JIRAFA C/25 PZAS,Bienes,14111611,7500326513077,,,,,,TRUE,
7500326513084,INVITACION VERTICAL  ANIM PRINT CHITA C/25 PZAS,Bienes,14111611,7500326513084,,,,,,TRUE,
7500326513107,DISTINTIVO GRADUACION FELICIDADES! FONDO NEGRO,Bienes,60121120,7500326513107,,,,,,TRUE,
7500326513114,DISTINTIVO GRADUACION FELICIDADES! FONDO AZUL,Bienes,60121120,7500326513114,,,,,,TRUE,
7500326513121,DISTINTIVO GRADUACION LO LOGRASTE MED. AMARILLA,Bienes,60121120,7500326513121,,,,,,TRUE,
7500326513138,DISTINTIVO GRADUACION FELICIDADES ! POR TU GRADUACION,Bienes,60121120,7500326513138,,,,,,TRUE,
7500326513145,DISTINTIVO GRADUACION LO LOGRASTE MARRON,Bienes,60121120,7500326513145,,,,,,TRUE,
7500326513152,DISTINTIVO GRADUACION LO LOGRASTE VERDE,Bienes,60121120,7500326513152,,,,,,TRUE,
7500326513213,KIT INVITACION BABYS JIRAFA AMARILLA UNISEX C/8 PZAS,Bienes,14111611,7500326513213,,,,,,TRUE,
7500326513220,KIT INVITACION BABYS SAFARI MARCO CAFÃ‰ UNIX C/8PZAS,Bienes,14111611,7500326513220,,,,,,TRUE,
7500326513237,KIT INVITACION BABYS SAFARI F/VERDE UNIX C/8 PZAS,Bienes,14111611,7500326513237,,,,,,TRUE,
7500326513244,KIT INVITACION BABYS ANIM. PRINT AZUL NIÃ‘O C/8PZAS,Bienes,14111611,7500326513244,,,,,,TRUE,
7500326513251,KIT INVITACION BABYS ANIM PRINT ROSA NIÃ‘A C/8 PZAS,Bienes,14111611,7500326513251,,,,,,TRUE,
7500326513268,KIT INVITACION BABYS ANIM PRINT PAJA UNIX C/8PZAS,Bienes,14111611,7500326513268,,,,,,TRUE,
